url,chunk_number,content
https://successportal.conestogac.on.ca/,1,[LINK: https://successportal.conestogac.on.ca/Form.aspx?id=3652170] Ask For Help [LINK: https://successportal.conestogac.on.ca/s/student-success-advising] [LINK: https://successportal.conestogac.on.ca/s/careteam] [LINK: https://successportal.conestogac.on.ca/s/internationalstudentimmigrationadvising] [LINK: https://successportal.conestogac.on.ca/s/international-transition-support] [LINK: https://successportal.conestogac.on.ca/s/indigenous-services] [LINK: https://successportal.conestogac.on.ca/s/srro] [LINK: https://successportal.conestogac.on.ca/s/understanding-your-academic-progression] [LINK: https://successportal.conestogac.on.ca/Form.aspx?id=3652170] Technology [LINK: https://successportal.conestogac.on.ca/s/teach-me-tech] [LINK: https://lib.conestogac.on.ca/Tech-Loans-Help/options] [LINK: https://it.conestogac.on.ca/downloads/] [LINK: https://successportal.conestogac.on.ca/s/assistive-technology] Academics & Learning [LINK: https://successportal.conestogac.on.ca/s/accessiblelearning] [LINK: https://successportal.conestogac.on.ca/s/testing-services] [LINK: https://successportal.conestogac.on.ca/s/tutoring] [LINK: https://successportal.conestogac.on.ca/s/math] [LINK: https://successportal.conestogac.on.ca/s/writing] [LINK: https://successportal.conestogac.on.ca/s/research] [LINK: https://successportal.conestogac.on.ca/s/academic-integrity] [LINK: https://successportal.conestogac.on.ca/s/learningstudyskills] Career & Employment [LINK: https://successportal.conestogac.on.ca/s/career] [LINK: https://successportal.conestogac.on.ca/s/co-op] [LINK: https://successportal.conestogac.on.ca/s/wil] [LINK: https://mycareer.conestogac.on.ca/students-alumni/studentLogin.htm] [LINK: https://research.conestogac.on.ca/conestoga-entrepreneurship-collective] Health & Wellness [LINK: https://successportal.conestogac.on.ca/s/medicalclinic] [LINK: https://successportal.conestogac.on.ca/s/counselling] [LINK: https://successportal.conestogac.on.ca/s/peer-mental-wellness] [LINK: https://successportal.conestogac.on.ca/s/sgbv] [LINK: https://www.conestogac.on.ca/athletics/index] [LINK: https://successportal.conestogac.on.ca/s/wellnesshealth] [LINK: https://studentcare.ca/rte/en/IHaveAPlan_CSI_Home] [LINK: https://cihip.ca/] Inclusive Community [LINK: https://successportal.conestogac.on.ca/s/student-engagement] [LINK: https://successportal.conestogac.on.ca/s/student-engagement/experiences/skills/providers?page=0] [LINK: https://successportal.conestogac.on.ca/s/student-engagement/activities?activityTypeIds=9&page=1&studentSiteId=17] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/16] [LINK: https://conestogastudents.com/] [LINK: https://www.conestogacondors.ca/landing/index] Campus Services [LINK: https://successportal.conestogac.on.ca/s/housing] [LINK: https://www.conestogac.on.ca/onecard] [LINK: https://conestoga.bookware3000.ca/] [LINK: https://studentportal.conestogac.on.ca/StudentPortal/Default.aspx]
https://successportal.conestogac.on.ca/students,1,[LINK: https://successportal.conestogac.on.ca/Form.aspx?id=3652170] Ask For Help [LINK: https://successportal.conestogac.on.ca/s/student-success-advising] [LINK: https://successportal.conestogac.on.ca/s/careteam] [LINK: https://successportal.conestogac.on.ca/s/internationalstudentimmigrationadvising] [LINK: https://successportal.conestogac.on.ca/s/international-transition-support] [LINK: https://successportal.conestogac.on.ca/s/indigenous-services] [LINK: https://successportal.conestogac.on.ca/s/srro] [LINK: https://successportal.conestogac.on.ca/s/understanding-your-academic-progression] [LINK: https://successportal.conestogac.on.ca/Form.aspx?id=3652170] Technology [LINK: https://successportal.conestogac.on.ca/s/teach-me-tech] [LINK: https://lib.conestogac.on.ca/Tech-Loans-Help/options] [LINK: https://it.conestogac.on.ca/downloads/] [LINK: https://successportal.conestogac.on.ca/s/assistive-technology] Academics & Learning [LINK: https://successportal.conestogac.on.ca/s/accessiblelearning] [LINK: https://successportal.conestogac.on.ca/s/testing-services] [LINK: https://successportal.conestogac.on.ca/s/tutoring] [LINK: https://successportal.conestogac.on.ca/s/math] [LINK: https://successportal.conestogac.on.ca/s/writing] [LINK: https://successportal.conestogac.on.ca/s/research] [LINK: https://successportal.conestogac.on.ca/s/academic-integrity] [LINK: https://successportal.conestogac.on.ca/s/learningstudyskills] Career & Employment [LINK: https://successportal.conestogac.on.ca/s/career] [LINK: https://successportal.conestogac.on.ca/s/co-op] [LINK: https://successportal.conestogac.on.ca/s/wil] [LINK: https://mycareer.conestogac.on.ca/students-alumni/studentLogin.htm] [LINK: https://research.conestogac.on.ca/conestoga-entrepreneurship-collective] Health & Wellness [LINK: https://successportal.conestogac.on.ca/s/medicalclinic] [LINK: https://successportal.conestogac.on.ca/s/counselling] [LINK: https://successportal.conestogac.on.ca/s/peer-mental-wellness] [LINK: https://successportal.conestogac.on.ca/s/sgbv] [LINK: https://www.conestogac.on.ca/athletics/index] [LINK: https://successportal.conestogac.on.ca/s/wellnesshealth] [LINK: https://studentcare.ca/rte/en/IHaveAPlan_CSI_Home] [LINK: https://cihip.ca/] Inclusive Community [LINK: https://successportal.conestogac.on.ca/s/student-engagement] [LINK: https://successportal.conestogac.on.ca/s/student-engagement/experiences/skills/providers?page=0] [LINK: https://successportal.conestogac.on.ca/s/student-engagement/activities?activityTypeIds=9&page=1&studentSiteId=17] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/16] [LINK: https://conestogastudents.com/] [LINK: https://www.conestogacondors.ca/landing/index] Campus Services [LINK: https://successportal.conestogac.on.ca/s/housing] [LINK: https://www.conestogac.on.ca/onecard] [LINK: https://conestoga.bookware3000.ca/] [LINK: https://studentportal.conestogac.on.ca/StudentPortal/Default.aspx]
https://successportal.conestogac.on.ca/s/academic-integrity,1,"Academic Integrity Having academic integrity means acting fairly and honestly when engaging in academic activities. Cheating, plagiarizing and inappropriate copying of textbooks are examples of [LINK: https://library.conestogac.on.ca/academic-integrity/i-am-a-student/accused-of-misconduct#types-of-misconduct] To learn more: Book a consultation Test your knowledge via the [LINK: https://h5pstudio.ecampusontario.ca/content/73552] Complete the [LINK: https://conestoga.desire2learn.com/d2l/home/230614] in eConestoga Review Conestoga's [LINK: https://www.conestogac.on.ca/about/corporate-information/policies?gclid=CjwKCAjw3K2XBhAzEiwAmmgrAkAVNsJyh0byAnFsEbFK3mRCmI-KiBIq73zhbsN6Hzc7mQo7VIi9khoCzK4QAvD_BwE] [LINK: https://successportal.conestogac.on.ca/students/docs/Detail/286] [LINK: /s/academic-integrity/appointments] You can book an appointment with us to learn how to practice academic integrity and avoid future incidents. We can also help you understand the Academic Integrity policies and procedures. Come prepared with details about your academic integrity question or offence. Arrive on time. We will only wait 10 minutes, after which you forfeit your appointment. We recommend students with multiple incidents to book an appointment with us. If no appointments are available, email [LINK: mailto:AcademicIntegrity@conestogac.on.ca] with the subject ""Need a consultation appointment"". Include your full name, student number, and your preferred meeting time and we will try to accommodate your request. Please be advised that our staff are only available Monday to Friday, 8:30 am - 4:00 pm ET. Please note you will only see appointments if you are a student eligible for service. 11 appointments still available. [LINK: /s/academic-integrity/appointments] ​How does the Academic Integrity Office work? Our office is an educational resource for students. We seek to promote a culture of integrity and academic excellence through educating students of the academic integrity policies, procedures and expectations. The Academic Integrity Office is a neutral party concerning all academic incident cases and is neither an advocate for students or faculty, nor a decision-maker in the investigation process. Our staff can: Help you understand types of academic incidents. Recommend next steps, resources and other services like writing and learning skills available for further support. Answer questions you have related to citing and referencing (e.g. APA@Conestoga). Academic integrity consultation guidelines Appointments are 40 minutes and available on a first-come, first-served basis. Appointments are based on staff availability and are not guaranteed. Appointments must be made at least two days in advance and not more than two weeks in advance. You can access up to one appointment per week. Please ensure you cancel or reschedule your appointments with 24 hours or more notice. If you fail to do so it will be marked as a missed appointment. Frequently missed appointments may impact your ability to self-book service appointments in the future. If you do not arrive within the first 10 minutes of your appointment, your appointment will be marked as missed. [LINK: https://lib.conestogac.on.ca/academic-integrity/about] Visit [LINK: https://lib.conestogac.on.ca/academic-integrity/about] for more information about academic integrity and its procedures, penalties and supports."
https://successportal.conestogac.on.ca/s/accessiblelearning,1,"Accessible Learning & Testing Services Conestoga College provides support and academic accommodation for students with all types of disabilities in keeping with the Ontario Human Rights Code. We work with you to understand the impact of your disability in the college environment and develop a plan that considers your goals and the options available to support your full participation in the learning environment. If you are not already registered with Accessible Learning and are looking to discuss possible academic accommodations, please fill out the [LINK: https://conestogac-accommodate.symplicity.com/public_accommodation/] and check out [LINK: https://studentsuccess.conestogac.on.ca/myLearning/NewToAccessibleLearning] If you are already registered with Accessible Learning, request an appointment with your Accessibility Advisor to: Change or renew academic accommodations Address a concern about your academic accommodations being met/support with advocacy Discuss bursaries Accommodations Academic accommodations are managed through the [LINK: https://conestogac-accommodate.symplicity.com/] system. In Accommodate, students can access accommodation letters, request appointments, and more. If you have questions about Accommodate, view the how-to videos below or contact us: [LINK: mailto:accessibility@conestogac.on.ca ] Read more about [LINK: https://successportal.conestogac.on.ca/students/faqs/detail/93/disability-related-accommodati] . Accommodate: Overview and Logging in Alternate formats of this video: [LINK: https://youtu.be/5X8EFddOcjg?si=vil7Kgp1i9wwhHrp] [LINK: https://youtu.be/Nc5bPkHpYvg?si=IgNz6vTMitncDO_8] Accommodate: Requesting an Appointment Alternate formats of this video: [LINK: https://youtu.be/xPFv7IxmuKc?si=UiL6_MYORAryXplI] [LINK: https://youtu.be/9f75Qic0pWk?si=psu-T7hDCAR9dEJ2] Accommodation Letter After your intake appointment with your Accessibility Advisor and accommodations have been put in place, you will receive an accommodation letter. A copy of this letter will also be delivered to your faculty. If you aren’t sure if you have accommodations in place, please check the expiry date on your most recent accommodation letter (in Accommodate, under ‘Accessibility Emails’). If you are in a co-op work term and registered in a course starting with COOP, your accommodation letter will not be issued. You will receive emails when faculty have viewed and acknowledged your accommodation letter. If you experience a change in course instructors, please let your Advisor know, as the system will not pick up this change. Please also let us know if you do not receive your accommodation letter or emails that faculty have received it. Accommodate: Accessing and Signing your Accommodation Letter Alternate formats of this video: [LINK: https://youtu.be/6p7o4DT3ehs?si=WiWk2ZpEJOLpEeRy] [LINK: https://youtu.be/Vw7RiwCE2ng?si=zoVcPRiOkRmnvCCa]"
https://successportal.conestogac.on.ca/s/assistive-technology,1,"Assistive Technology Book a consultation to explore technology that helps you read, write, study and learn more effectively. Here are some examples of learning technology software: Text-to-speech: speaks everything on a computer screen Voice recognition: allows the user to say commands and to enter text using their voice Mind-mapping: organizes your ideas through web diagrams and creates visual concept links Assistive Technology and supports Students with referrals from [LINK: https://successportal.conestogac.on.ca/s/accessiblelearning] can access alternate format services and assistive device trial loans. [LINK: /s/assistive-technology/appointments] Our team helps students by: Identifying areas where [LINK: https://lib.conestogac.on.ca/assistive-technology/learningtechnology] more effectively Providing one-on-one training and support on various [LINK: https://lib.conestogac.on.ca/assistive-technology/at-overview] that help with reading, writing, note-taking and more. Providing access to [LINK: https://lib.conestogac.on.ca/assistive-technology/alternate-formats] for students with documented print disabilities. Important consultation details: Appointments are 40 minutes and available on a first-come, first-served basis. Appointments are based on staff availability and are not guaranteed. Appointments must be made at least two days in advance and not more than two weeks in advance. You can access up to one appointment per week. Please ensure you cancel or reschedule your appointments with 24 hours or more notice. If you fail to do so, it will be marked as a missed appointment. Frequently missed appointments may impact your ability to self-book service appointments in the future. If you do not arrive within the first 10 minutes of your appointment, your appointment will be marked as missed. Please note you will only see appointments if you are a student eligible for service. 44 appointments still available. [LINK: /s/assistive-technology/appointments] Our Services Technologies to help you learn Learn more about [LINK: https://lib.conestogac.on.ca/assistive-technology/learningtechnology] . All students can book an appointment to explore these technologies that can help you learn more effectively. [LINK: https://lib.conestogac.on.ca/assistive-technology/reading] [LINK: https://lib.conestogac.on.ca/assistive-technology/writing] [LINK: https://lib.conestogac.on.ca/assistive-technology/voice-dictation] [LINK: https://lib.conestogac.on.ca/assistive-technology/mind-mapping] [LINK: https://lib.conestogac.on.ca/assistive-technology/note-taking] [LINK: https://lib.conestogac.on.ca/assistive-technology/org-time] [LINK: https://lib.conestogac.on.ca/assistive-technology/math] Assistive technologies Students registered with [LINK: https://successportal.conestogac.on.ca/s/accessiblelearning] can book an appointment to explore assistive technology to support their learning. [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/17] Browse assistive technologies: [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/20] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/19] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/21] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/22] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/18] [LINK: https://successportal.conestogac.on.ca/students/infopages/detail/23] Alternate formats Students registered with [LINK: https://successportal.conestogac.on.ca/s/accessiblelearning] can book an appointment to learn how to obtain alternate formats of their required course materials and library resources. Visit this library website for more information on how to [LINK: https://lib.conestogac.on.ca/assistive-technology/alternate-formats] ."
https://successportal.conestogac.on.ca/s/careteam,1,"CARE Team The Conestoga College CARE Team helps to ensure that the students that are most in need of elevated levels of support are identified early. We aim to provide students with the appropriate opportunities and interventions to aid them in achieving their academic and personal goals, while supporting a safe and welcoming learning environment for all community members. Reasons for a Referral You can refer a student when: A student tells me they are depressed A student shares that they are thinking about or have attempted suicide A student tells me they are or were in the hospital due to mental health and/or illness A student threatens to harm others or themselves [LINK: https://conestogac-advocate.symplicity.com/care_report/index.php/pid225058?] CARE Referral As a member of the Conestoga community, you can share concerns for students by using the [LINK: https://conestogac-advocate.symplicity.com/care_report/index.php/pid832994?] . Only members of the CARE Team review the information you provide. If you have concerns about confidentiality, please write your concern in the referral form. [LINK: https://conestogac-advocate.symplicity.com/care_report/index.php/pid225058?] [LINK: https://conestogac-advocate.symplicity.com/care_report/index.php/pid225058?] A member of the CARE Team will review your referral within 1-2 business days and will contact you by email to confirm the information provided, ask any additional questions, and plan next steps. Who is the CARE Team? The CARE Team includes Conestoga staff members from across the college who have experience in student support, wellness and community safety. This includes staff from Student Health & Wellness, International Office, Residence Operations, Student Rights and Responsibilities, Security Services, and the Dean of Students Office. Other Resources Do you have questions about your courses or program? Book an appointment with a [LINK: https://successportal.conestogac.on.ca/s/student-success-advising] [LINK: https://successportal.conestogac.on.ca/s/student-success-advising] Do you have questions about your visa/post-graduate work permits? Book an appointment with [LINK: https://successportal.conestogac.on.ca/s/internationalstudentimmigrationadvising] Do you have questions about your tuition payment or fees? Email [LINK: mailto:mailto:%20studentfees@conestogac.on.ca] [LINK: mailto:mailto:studentfees@conestogac.on.ca] Sexual and Gender-Based Violence Prevention and Support: [LINK: https://studentsuccess.conestogac.on.ca/health-and-wellness] Are you in Crisis and need urgent support ? Please contact Security and/or the following resources: Suicide Crisis Helpline (all of Canada): 988 HERE 24/7 (Kitchener, Waterloo, Cambridge, Guelph):1-844-437-3247 Good 2 Talk (Post-secondary student helpline): 1-866-925-5454 or text GOOD2TALKON to 686868 Crisis Support Peel (Mississauga, Brampton, Peel areas): 1-888-811-2222 FAQs Q: What happens after I submit a CARE Referral Form? A: A member of the CARE Team will review your referral within 1-2 business days and will contact you by email to confirm the information provided, ask any additional questions, and plan next steps. Q: Will a CARE Referral impact my immigration status or academic status? A: No. We are here to help students navigate concerning behaviours and to make sure they are connected to the appropriate resources. Q: Can I be anonymous when submitting a CARE Referral Form? A: Please include your contact information in the referral form so that the CARE Team can follow up with you. If you choose to be anonymous, it is not guaranteed that CARE Team can follow up with the student of concern. Q: Will I get in trouble if I submit a CARE Referral Form about my friend? A: The CARE Team is here to help students. When our team hears from you about a concern, we review it carefully and help find the right ways to support. Q: I am stressed about a lot of things happening in my life but don’t know where to get help. Can I submit a CARE Referral Form? A: Review the Other Resources in the section above. If none of these resources help with your concerns, fill out a CARE Referral Form."
https://successportal.conestogac.on.ca/students/workGroups,1,My sites [LINK: /students] [LINK: /s/academic-integrity] [LINK: /s/accessiblelearning] [LINK: /s/assistive-technology] [LINK: /s/careteam] [LINK: /s/career] [LINK: /s/co-op] [LINK: /s/counselling] [LINK: /s/housing] [LINK: /s/indigenous-services] [LINK: /s/internationalstudentimmigrationadvising] [LINK: /s/international-transition-support] [LINK: /s/learningstudyskills] [LINK: /s/math] [LINK: /s/medicalclinic] [LINK: /s/organizationstudyskills] [LINK: /s/peer-mental-wellness] [LINK: /s/research] [LINK: /s/sgbv] [LINK: /s/student-engagement] [LINK: /s/srro] [LINK: /s/student-success-advising] [LINK: /s/teach-me-tech] [LINK: /s/testing-services] [LINK: /s/tutoring] [LINK: /s/understanding-your-academic-progression] [LINK: /s/wellnesshealth] [LINK: /s/wil] [LINK: /s/writing]
https://successportal.conestogac.on.ca/Form.aspx?id=3652170,1,"Student Ask for Help - Advising Contact Instructions : Please tell us generally about how we can help. Note : Form submissions will be visible to the student and employees supporting student success. Personal information unrelated to the request or of a sensitive nature should not be included on the form . Typical response time: 3 - 7 business days To book an appointment with your Student Success Advisor (SSA) and view their drop-in schedule, visit the [LINK: https://successportal.conestogac.on.ca/students/appointments/app/topic/83?siteId=1] . For concerns about well-being, mental health or behavioural issues, please submit a [LINK: https://studentsuccess.conestogac.on.ca/faculty/careteam] . Student Number (required) Campus Any Brantford Cambridge - Fountain Street Cambridge - Reuter Guelph Ingersoll Skills Training Centre Kitchener - Downtown Kitchener - Doon Milton Stratford Waterloo Program Name (required) Academic Concerns Please indicate the general concerns by selecting from the following list, then specify the scope of the issue in the textbox below. Absences Academic Integrity College not meeting my expectations Co-op, field placement, or hands on learning Deadlines / tests Failing, withdrawing or discontinued Further education after this Interactions with peers in my classes Learning strategies and skills Scheduling issues Understanding college in Canada Registration concerns Other Personal Concerns Your form submission will be reviewed by a member of the Student Success Advising team. When it comes to personal matters, we can assist you with finding the right support to meet your needs. In some cases, that might be general assistance by a member of our team, and in others we may help you connect with a specialist in another department who can go into more detail. If mental health is central to your current situation, please consider a Care Team referral linked above. Career plans and long-term goals Finances, tuition and student fees Housing or living arrangements Job issues or seeking employment Community or sense of belonging Disability or accessibility Health or well-being Interpersonal relationships (friends, roommates, family, etc.) Work permits or study visas Other Additional Information (required) Please provide clarification about your concerns to help us connect you with the appropriate support. For your privacy, do not include sensitive personal information. Save draft Submit"
https://successportal.conestogac.on.ca/students/appointments,1,Appointments Staff Any Ada Wassink Alicia Albl Alicia Lopez Flecha Amanda Fudge Amanda Lishman Andrea Taplin Antonina Gousseva Bill Todd Brittany Pereira-Pielas Crystal Qian Elizabeth Rodrigues Emily Nascimben Kaitlyn Clarke Kimberly Gingras Lee Mayes Lela Novicic Margaret Heard Michelle Doadt Pam Jadischke Rasha Hasanen Rowan Bleaney Sara Halstead Tao Cruikshank Tatjana Susa Tessa Dueck Willy Deng Yi Yang Campus Any Cambridge Reuter Doon Guelph Online Waterloo Book Appointment [LINK: /students/appointments/Bookings] [LINK: /students/appointments/bookings/history] [LINK: /students/appointments/ConsultationNotes] [LINK: topics?siteId=1] [LINK: /month//1?siteId=1] [LINK: /month//1?siteId=1] What would you like to talk about? [LINK: topic/46?siteId=1] [LINK: topic/47?siteId=1] [LINK: topic/248?siteId=1] [LINK: topic/259?siteId=1] [LINK: topic/256?siteId=1] [LINK: topic/257?siteId=1] [LINK: topic/258?siteId=1] [LINK: topic/119?siteId=1] [LINK: topic/113?siteId=1] [LINK: topic/115?siteId=1] [LINK: topic/222?siteId=1] [LINK: topic/251?siteId=1] [LINK: topic/252?siteId=1] [LINK: topic/253?siteId=1] [LINK: topic/83?siteId=1] [LINK: topic/155?siteId=1] all appointments booked WIL-Document Services - Nurse Support  - A WIL Nurse requested I book an appointment (NOTE: You must be invited to book this appointment to review your specific immunization and/or TB testing requirements)
https://successportal.conestogac.on.ca/students/appointments/Bookings,1,My Upcoming Appointment [LINK: /students/appointments/app] My Upcoming Appointments [LINK: /students/appointments/bookings/history] [LINK: /students/appointments/ConsultationNotes] Appointment Bookings You do not have any upcoming appointments
